sno,平日0600初始車輛數
500105023,8
500105024,14
500105025,19
500105026,13
500105027,27
500105028,10
500105029,14
500105030,10
500105031,14
500105032,13
500105033,5
500105034,4
500105035,12
500105036,15
500105037,8
500105038,13
500105039,8
500105040,6
500105041,6
500105042,6
500105043,6
500105044,5
500105045,5
500105046,8
500105047,7
500105048,6
500105049,13
500105050,6
500105051,4
500105053,13
500105054,5
500105055,20
500105056,6
500105057,4
500105058,4
500105059,8
500105060,10
500105061,21
500105063,5
500105064,8
500105066,7
500105067,27
500105068,3
500105069,18
500105070,58
500105071,5
500105072,12
500105073,15
500105074,4
500105075,6
500105076,8
500105077,8
500105079,9
500105080,13
500105081,17
500105082,8
500105083,8
500105084,16
500105085,8
500105086,8
500105087,6
500105088,9
500105089,15
500105090,6
500105091,5
500105092,10
500105093,4
500105094,8
500105095,7
500105096,6
500105097,5
500105098,9
500105100,6
500105101,4
500105102,9
500105103,9
500105104,6
500105106,12
500105107,23
500105108,7
500105109,6
500105110,10
500105111,18
500105112,5
500105113,10
500105114,4
500105115,10
500105116,4
500105117,6
500105118,15
500105119,6
500105120,7
500105121,7
500105122,10
500105123,7
500105124,5
500105125,7
500105126,16
500106001,8
500106003,6
500106004,4
500106005,5
500106006,10
500106007,14
500106008,11
500106009,32
500106010,32
500106011,9
500106012,8
500106013,8
500106014,40
500106015,4
500106016,4
500106017,10
500106018,41
500106019,9
500106020,6
500106021,13
500106022,8
500106023,7
500106025,30
500106026,13
500106027,13
500106028,8
500106029,11
500106030,6
500106031,10
500106037,21
500106038,8
500106039,8
500106040,6
500106041,9
500106042,5
500106043,10
500106044,15
500106046,3
500106047,11
500106048,12
500106049,6
500106050,15
500106051,5
500106052,15
500106053,8
500106054,4
500106055,17
500106056,6
500106057,18
500106058,9
500106059,6
500106060,6
500106061,7
500106062,12
500106063,7
500106064,14
500106065,5
500106066,26
500106067,26
500106068,18
500106069,18
500106070,4
500106071,9
500106072,7
500106073,4
500106074,10
500106075,12
500106077,13
500106078,13
500106079,6
500106080,13
500106083,15
500106084,9
500106085,5
500106086,6
500106087,9
500106088,8
500106089,10
500106090,11
500106091,5
500106092,10
500106093,6
500106094,8
500106095,9
500106096,12
500106097,10
500106098,6
500106099,6
500106100,7
500106101,11
500106102,5
500106103,6
500106104,5
500106105,10
500106106,8
500106107,7
500106108,6
500106109,6
500106110,11
500106111,6
500106112,11
500106113,10
500106114,9
500106115,11
500106116,12
500106117,19
500106118,5
500106119,14
500106120,17
500106121,13
500106122,9
500106123,7
500106124,10
500106125,6
500106126,11
500106127,8
500106128,20
500106129,19
500106130,8
500106131,7
500106132,8
500106133,7
500106134,13
500106135,3
500106136,9
500106137,5
500106138,10
500106142,6
500106143,12
500106144,4
500106145,10
500106146,7
500106147,7
500106149,8
500106150,14
500107001,16
500107002,6
500107003,6
500107004,9
500107005,9
500107006,6
500107007,18
500107008,7
500107009,12
500107010,26
500107011,11
500107012,8
500107013,20
500107014,6
500107015,18
500107016,28
500107017,14
500107018,8
500107019,6
500107020,23
500107021,16
500107022,11
500107023,42
500107024,9
500107025,10
500107026,4
500107027,9
500107028,49
500107029,16
500107030,11
500107031,15
500107032,15
500107033,6
500107034,9
500107035,20
500107036,32
500107037,12
500107038,4
500107039,9
500107040,21
500107041,16
500107042,7
500107043,6
500107044,8
500107045,7
500107046,11
500107047,9
500107048,23
500107049,26
500107050,31
500107051,10
500107052,11
500107053,7
500107054,8
500107055,7
500107056,10
500107058,15
500107059,6
500107060,7
500107061,17
500107062,26
500107063,7
500107064,36
500107065,4
500107066,4
500107067,5
500107068,10
500107069,6
500107070,5
500107071,9
500107072,14
500107075,8
500107076,20
500107078,8
500107079,12
500107080,6
500107081,8
500107082,9
500107083,18
500107084,8
500107085,8
500107086,3
500107087,16
500107088,4
500107089,12
500107090,8
500107091,7
500107092,9
500107093,16
500107095,7
500107096,8
500107097,7
500107098,5
500107099,4
500107100,5
500107101,8
500107102,5
500107103,6
500107104,5
500107105,4
500107106,6
500107107,7
500107108,7
500107109,8
500107110,11
500107111,23
500107112,15
500107113,3
500107114,12
500107115,10
500107116,28
500107117,7
500107118,13
500107119,9
500107120,6
500107121,6
500107122,10
500107123,9
500107124,5
500107125,8
500107126,7
500107127,7
500107128,7
500107129,4
500107130,12
500107131,7
500107132,7
500107133,7
500107134,9
500107135,5
500107136,15
500107137,2
500107138,16
500107139,20
500107140,4
500107141,11
500107142,7
500107143,5
500107144,22
500107145,15
500107146,17
500107147,4
500107149,7
500107150,4
500107151,7
500107152,8
500107153,6
500107154,5
500107155,7
500107156,8
500107157,6
500107158,18
500107159,8
500107160,17
500107161,6
500107162,14
500107163,4
500107164,4
500107165,7
500107166,15
500107167,7
500107168,7
500107169,11
500107170,15
500107171,10
500107172,18
500107173,8
500107174,6
500107175,10
500107176,8
500107177,12
500107178,12
500107179,8
500107180,7
500107181,7
500107182,16
500107183,7
500107184,7
500107185,10
500107186,4
500107187,13
500107188,17
500107189,7
500107190,8
500107191,11
500107192,12
500107193,11
500107194,10
500107195,10
500107196,16
500107197,8
500107198,16
500107199,9
500107200,7
500107201,5
500107202,6
500107203,9
500107204,8
500107205,5
500107206,5
500108001,20
500108002,8
500108003,6
500108004,10
500108005,22
500108006,14
500108007,10
500108008,24
500108009,12
500108010,8
500108011,22
500108012,7
500108013,11
500108014,3
500108015,6
500108016,6
500108018,11
500108019,13
500108020,8
500108021,15
500108022,8
500108023,7
500108024,13
500108025,4
500108026,19
500108027,27
500108028,15
500108029,7
500108030,8
500108031,7
500108032,6
500108033,26
500108035,14
500108036,17
500108037,7
500108038,14
500108039,6
500108040,8
500108041,7
500108043,9
500108044,9
500108045,17
500108046,27
500108047,8
500108048,16
500108049,41
500108050,4
500108051,22
500108052,10
500108054,10
500108055,11
500108056,16
500108057,7
500108058,13
500108059,15
500108060,11
500108061,12
500108062,10
500108063,5
500108064,2
500108065,9
500108066,10
500108067,9
500108068,28
500108069,6
500108070,39
500108071,16
500108072,11
500108073,6
500108074,8
500108075,6
500108076,6
500108077,14
500108078,14
500108079,9
500108081,13
500108082,4
500108083,6
500108084,6
500108085,9
500108086,14
500108087,9
500108088,17
500108089,11
500108090,5
500108091,11
500108092,6
500108093,5
500108094,5
500108095,14
500108096,9
500108097,13
500108098,6
500108099,15
500108100,9
500108102,7
500108103,3
500108104,6
500108105,11
500108106,8
500108107,11
500108108,7
500108109,5
500108110,11
500108111,10
500108112,11
500108115,12
500108116,4
500108117,11
500108118,11
500108119,5
500108120,7
500108121,15
500108122,3
500108123,8
500108124,8
500108125,8
500108126,9
500108127,14
500108128,7
500108129,10
500108131,5
500108132,6
500108133,13
500108134,6
500108135,9
500108136,8
500108137,12
500108138,12
500108139,9
500108140,7
500108141,11
500108142,7
500108143,4
500108144,4
500108145,4
500108146,10
500108147,14
500108148,6
500108150,3
500108151,3
500108152,4
500108153,6
500108154,9
500108156,8
500108157,6
500108158,5
500108159,6
500108160,4
500108161,6
500108162,6
500108164,3
500108165,17
500108166,3
500108167,8
500108168,7
500108169,8
500108170,6
500108171,4
500108172,11
500108173,8
500108174,5
500108175,10
500108176,4
500108177,5
500108178,12
500108179,20
500108181,14
500108182,7
500108183,7
500108184,4
500108185,5
500108186,12
500108187,10
500108188,6
500108189,4
500108190,8
500108191,26
500108192,12
500108193,8
500108194,11
500108195,10
500108196,10
500108197,8
500108199,6
500108200,7
500108201,13
500108202,13
500108203,16
500108204,11
500108205,11
500108206,7
500108207,8
500108208,11
500108209,5
500108211,12
500108212,13
500108213,5
500108214,14
500108215,7
500108216,8
500108217,8
500108218,6
500108219,6
500108220,11
500108221,11
500108222,8
500108223,10
500108224,13
500108225,9
500108226,7
500108227,9
500108228,16
500108229,5
500108230,8
500108231,9
500108233,7
500108234,8
500108235,8
500109001,17
500109002,9
500109003,23
500109004,8
500109005,18
500109006,19
500109007,21
500109008,25
500109009,7
500109010,17
500109011,19
500109012,7
500109013,14
500109014,6
500109015,8
500109016,11
500109017,11
500109018,9
500109019,19
500109020,19
500109022,36
500109023,25
500109024,6
500109025,10
500109026,14
500109027,43
500109028,13
500109029,9
500109030,7
500109031,12
500109032,54
500109033,15
500109034,24
500109035,7
500109036,4
500109037,6
500109039,5
500109040,7
500109041,13
500109042,12
500109043,16
500109044,8
500109045,4
500109046,6
500109047,13
500109048,10
500109049,8
500109050,10
500109051,8
500109052,9
500109053,15
500109054,14
500109055,14
500109056,16
500109057,6
500109058,9
500109059,12
500109060,8
500109061,8
500109062,8
500109063,20
500109064,7
500109065,14
500109066,24
500109067,7
500109068,17
500109070,12
500109071,6
500109072,10
500109073,11
500109074,11
500109075,14
500109076,5
500109077,7
500109078,5
500109079,29
500109080,5
500109081,8
500109082,5
500109084,8
500109085,15
500109086,15
500109087,11
500109088,10
500109089,7
500109091,12
500109092,8
500109093,16
500109094,4
500109096,5
500109097,9
500109098,9
500109099,6
500109100,4
500109101,46
500109102,4
500109103,5
500109104,12
500109105,9
500109106,8
500109107,10
500109108,11
500109109,7
500109110,11
500109111,6
500109112,14
500109113,13
500109114,15
500109115,9
500109116,9
500109117,12
500109118,15
500109119,22
500109120,19
500109121,9
500109122,10
500109123,14
500109124,9
500109125,12
500109126,5
500109127,9
500109128,17
500109129,24
500109130,9
500110002,9
500110003,18
500110004,14
500110005,12
500110006,4
500110007,8
500110008,9
500110009,3
500110010,5
500110011,14
500110012,12
500110013,22
500110014,8
500110015,6
500110016,6
500110017,10
500110018,16
500110019,21
500110020,12
500110021,9
500110022,18
500110023,24
500110024,7
500110025,19
500110026,11
500110027,9
500110028,15
500110029,9
500110030,14
500110031,8
500110032,7
500110033,14
500110034,13
500110035,18
500110036,8
500110037,6
500110038,14
500110039,32
500110040,17
500110041,23
500110042,17
500110043,6
500110044,23
500110045,14
500110046,13
500110047,7
500110048,6
500110049,9
500110050,5
500110051,5
500110052,7
500110053,8
500110054,14
500110055,4
500110056,11
500110057,9
500110058,5
500110059,12
500110060,13
500110061,13
500110062,10
500110063,10
500110064,6
500110065,4
500110066,15
500110067,20
500110068,5
500110069,11
500110070,6
500110071,17
500110072,5
500110073,7
500110074,6
500110076,16
500110077,12
500110078,18
500110079,8
500110080,6
500110081,9
500110082,11
500110083,10
500110084,17
500110085,6
500110086,14
500110087,13
500110088,4
500110089,14
500110090,18
500110091,20
500110092,5
500110093,10
500110094,11
500110095,10
500110096,11
500110097,9
500110098,8
500110099,10
500110100,7
500110101,11
500110102,13
500110103,10
500110104,14
500110105,9
500110106,8
500110107,4
500110108,0
500110109,7
500110110,16
500111001,14
500111002,35
500111003,18
500111004,23
500111005,11
500111006,6
500111007,8
500111008,20
500111009,22
500111010,18
500111011,5
500111012,4
500111013,21
500111014,26
500111015,24
500111016,30
500111017,21
500111018,12
500111019,7
500111020,6
500111021,11
500111022,24
500111023,30
500111024,9
500111025,5
500111026,12
500111027,10
500111028,17
500111029,8
500111030,13
500111031,10
500111032,5
500111033,9
500111034,4
500111035,18
500111036,16
500111037,4
500111038,6
500111039,15
500111040,7
500111041,5
500111042,12
500111043,10
500111044,12
500111045,17
500111046,8
500111047,15
500111048,18
500111049,5
500111050,6
500111051,13
500111052,5
500111053,10
500111054,8
500111055,8
500111056,6
500111057,8
500111058,11
500111059,14
500111060,31
500111061,10
500111062,10
500111063,7
500111065,8
500111066,7
500111067,8
500111068,12
500111069,23
500111070,31
500111071,7
500111072,16
500111073,8
500111074,10
500111075,8
500111076,8
500111077,7
500111078,5
500111079,9
500111080,8
500111081,6
500111082,6
500111083,9
500111084,8
500111085,6
500111086,8
500111087,4
500111088,5
500111089,9
500111090,8
500111091,9
500111092,4
500111093,3
500111094,4
500111095,8
500111096,10
500111097,7
500111098,9
500111113,6
500111114,10
500111115,6
500111116,14
500111117,10
500111118,7
500111119,8
500111120,5
500111121,6
500111122,5
500111123,9
500111124,7
500111125,10
500111126,9
500111127,13
500111128,4
500111129,12
500111130,14
500111131,9
500111132,24
500111133,10
500111134,13
500112001,19
500112002,9
500112003,12
500112004,14
500112005,9
500112006,30
500112007,12
500112008,35
500112009,18
500112010,7
500112011,11
500112012,14
500112013,3
500112014,18
500112015,10
500112016,21
500112017,35
500112018,10
500112019,5
500112020,9
500112021,5
500112022,43
500112023,35
500112024,8
500112025,25
500112026,33
500112027,8
500112028,17
500112029,7
500112030,5
500112031,5
500112032,13
500112033,7
500112035,17
500112036,8
500112037,27
500112038,8
500112039,22
500112040,26
500112042,5
500112043,24
500112044,14
500112045,42
500112046,27
500112047,18
500112048,13
500112049,17
500112050,24
500112051,24
500112052,13
500112053,12
500112054,11
500112055,17
500112056,8
500112057,17
500112058,5
500112059,11
500112060,13
500112061,9
500112062,9
500112063,13
500112064,48
500112065,7
500112066,6
500112067,19
500112068,21
500112069,11
500112070,7
500112071,20
500112072,20
500112073,19
500112075,5
500112076,17
500112078,15
500112079,9
500112080,19
500112081,10
500112082,6
500112083,9
500112084,22
500112085,41
500112086,7
500112087,12
500112088,7
500112089,6
500112090,5
500112091,4
500112092,10
500112093,3
500112094,8
500112095,15
500112096,13
500112097,14
500112098,8
500112099,13
500112100,27
500112101,9
500112102,12
500112103,5
500112104,15
500112105,12
500112106,7
500112107,15
500112108,10
500112109,12
500112110,23
500112111,12
500112112,6
500112113,8
500112114,8
500112115,14
500112116,12
500112117,10
500112118,10
500112119,12
500112120,11
500112123,5
500112124,7
500112125,11
500112127,12
500112128,6
500112129,8
500112130,10
500112132,31
500112133,6
500112134,7
500113001,6
500113002,8
500113003,5
500113004,10
500113005,15
500113006,11
500113007,10
500113008,20
500113009,12
500113010,8
500113012,22
500113013,12
500113014,10
500113015,3
500113016,4
500113017,16
500113018,6
500113019,14
500113020,9
500113022,14
500113023,13
500113025,13
500113026,15
500113027,14
500113028,10
500113029,8
500113030,11
500113031,7
500113032,6
500113033,13
500113034,46
500113035,9
500113036,23
500113037,10
500113038,35
500113039,22
500113041,15
500113042,36
500113043,45
500113044,29
500113045,19
500113046,12
500113047,6
