sno,平日0400初始車輛數
500104028,9
500104029,6
500104030,8
500104031,5
500104032,16
500104033,16
500104034,6
500104035,15
500104036,11
500104037,5
500104038,9
500104039,20
500104040,6
500104041,3
500104042,6
500104043,5
500104044,8
500104045,7
500104046,4
500104047,13
500104048,6
500104050,11
500104051,15
500104052,8
500104053,8
500104054,16
500104055,4
500104056,8
500104057,6
500104058,13
500104059,9
500104060,16
500104061,12
500104062,6
500104063,9
500104064,12
500104065,9
500104066,8
500104067,8
500104068,6
500104069,9
500104070,6
500104071,12
500104072,29
500104073,20
500104074,22
500104075,10
500104076,10
500104077,10
500104078,11
500104079,8
500104080,8
500104081,14
500104082,8
500104083,9
500104084,5
500104085,17
500104086,6
500104087,7
500104088,17
500104089,11
500104090,21
500104091,8
500104092,8
500104094,7
500104095,15
500104096,9
500104097,4
500104098,5
500104099,6
500104100,6
500104101,9
500104102,8
500104103,9
500104104,5
500104105,9
500104106,8
500104107,11
500104108,5
500104109,8
500104110,6
500104111,8
500104112,4
500104113,7
500104114,5
500104115,5
500104116,11
500104117,14
500104118,7
500104119,9
500104120,8
500104121,10
500104122,3
500104123,15
500104124,8
500104125,9
500104126,17
500104128,9
500104129,10
500104130,10
500104131,9
500104132,16
500104133,11
500104134,9
500104135,13
500104136,9
500104137,10
500104138,6
500104139,7
500104140,11
500104141,12
500104142,7
500104143,15
500104144,9
500104145,8
500104146,8
500104147,12
500104148,6
500104149,8
500104150,12
500104151,12
500104152,8
500104153,10
500104154,5
500105001,24
500105002,10
500105003,13
500105004,25
500105005,4
500105006,9
500105007,14
500105008,22
500105009,17
500105010,20
500105011,13
500105012,21
500105013,19
500105014,9
500105015,10
500105016,22
500105017,5
500105018,23
500105019,10
500105020,6
500105021,6
500105022,7
500105023,5
500105024,15
500105025,18
500105026,14
500105027,27
500105028,10
500105029,15
500105030,10
500105031,16
500105032,13
500105033,6
500105034,4
500105035,12
500105036,15
500105037,8
500105038,13
500105039,8
500105040,6
500105041,7
500105042,7
500105043,6
500105044,5
500105045,5
500105046,8
500105047,9
500105048,2
500105049,14
500105050,6
500105051,3
500105053,13
500105054,5
500105055,22
500105056,6
500105057,5
500105058,4
500105059,8
500105060,9
500105061,21
500105063,5
500105064,9
500105066,8
500105067,27
500105068,6
500105069,19
500105070,65
500105071,4
500105072,11
500105073,16
500105074,6
500105075,6
500105076,8
500105077,10
500105079,10
500105080,14
500105081,18
500105082,10
500105083,9
500105084,16
500105085,7
500105086,8
500105087,5
500105088,8
500105089,19
500105090,6
500105091,7
500105092,10
500105093,3
500105094,9
500105095,7
500105096,6
500105097,6
500105098,11
500105100,6
500105101,4
500105102,9
500105103,9
500105104,6
500105106,13
500105107,22
500105108,6
500105109,6
500105110,10
500105111,20
500105112,6
500105113,11
500105114,4
500105115,9
500105116,4
500105117,6
500105118,16
500105119,7
500105120,7
500105121,9
500105122,11
500105123,6
500105124,5
500105125,7
500105126,18
500106001,7
500106003,2
500106004,4
500106005,5
500106006,8
500106007,9
500106008,11
500106009,32
500106010,30
500106011,10
500106012,8
500106013,9
500106014,43
500106015,4
500106016,4
500106017,10
500106018,42
500106019,9
500106020,6
500106021,14
500106022,7
500106023,7
500106025,31
500106026,13
500106027,16
500106028,8
500106029,12
500106030,5
500106031,8
500106037,21
500106038,9
500106039,7
500106040,6
500106041,7
500106042,5
500106043,8
500106044,18
500106046,3
500106047,4
500106048,12
500106049,4
500106050,14
500106051,5
500106052,14
500106053,7
500106054,4
500106055,17
500106056,6
500106057,18
500106058,10
500106059,6
500106060,5
500106061,8
500106062,11
500106063,6
500106064,15
500106065,4
500106066,27
500106067,18
500106068,19
500106069,12
500106070,4
500106071,7
500106072,6
500106073,4
500106074,12
500106075,14
500106077,14
500106078,13
500106079,6
500106080,6
500106083,12
500106084,8
500106085,6
500106086,6
500106087,10
500106088,9
500106089,11
500106090,11
500106091,5
500106092,10
500106093,6
500106094,10
500106095,12
500106096,14
500106097,12
500106098,6
500106099,6
500106100,6
500106101,10
500106102,4
500106103,5
500106104,4
500106105,6
500106106,8
500106107,6
500106108,7
500106109,6
500106110,8
500106111,4
500106112,5
500106113,10
500106114,10
500106115,12
500106116,12
500106117,20
500106118,4
500106119,14
500106120,18
500106121,12
500106122,9
500106123,8
500106124,11
500106125,6
500106126,8
500106127,6
500106128,20
500106129,20
500106130,9
500106131,9
500106132,8
500106133,7
500106134,13
500106135,3
500106136,8
500106137,4
500106138,10
500106142,6
500106143,13
500106144,4
500106145,10
500106146,7
500106147,6
500106149,10
500106150,15
500107001,16
500107002,3
500107003,5
500107004,9
500107005,10
500107006,6
500107007,19
500107008,8
500107009,13
500107010,27
500107011,10
500107012,7
500107013,18
500107014,5
500107015,18
500107016,29
500107017,16
500107018,8
500107019,6
500107020,23
500107021,15
500107022,9
500107023,46
500107024,6
500107025,12
500107026,5
500107027,10
500107028,37
500107029,17
500107030,12
500107031,16
500107032,15
500107033,9
500107034,11
500107035,13
500107036,25
500107037,13
500107038,4
500107039,9
500107040,23
500107041,18
500107042,8
500107043,4
500107044,8
500107045,4
500107046,11
500107047,8
500107048,23
500107049,28
500107050,35
500107051,10
500107052,13
500107053,7
500107054,10
500107055,7
500107056,7
500107058,16
500107059,6
500107060,7
500107061,18
500107062,24
500107063,4
500107064,36
500107065,3
500107066,5
500107067,4
500107068,11
500107069,6
500107070,3
500107071,10
500107072,13
500107075,8
500107076,19
500107078,10
500107079,13
500107080,7
500107081,7
500107082,10
500107083,22
500107084,8
500107085,9
500107086,4
500107087,16
500107088,3
500107089,10
500107090,7
500107091,8
500107092,9
500107093,14
500107095,7
500107096,8
500107097,7
500107098,5
500107099,5
500107100,5
500107101,6
500107102,5
500107103,4
500107104,5
500107105,4
500107106,11
500107107,7
500107108,5
500107109,8
500107110,12
500107111,21
500107112,11
500107113,4
500107114,13
500107115,7
500107116,30
500107117,6
500107118,12
500107119,8
500107120,6
500107121,8
500107122,4
500107123,10
500107124,5
500107125,9
500107126,5
500107127,7
500107128,9
500107129,4
500107130,13
500107131,7
500107132,5
500107133,7
500107134,11
500107135,6
500107136,14
500107137,2
500107138,13
500107139,19
500107140,4
500107141,12
500107142,9
500107143,4
500107144,22
500107145,15
500107146,17
500107147,5
500107149,7
500107150,4
500107151,5
500107152,10
500107153,6
500107154,5
500107155,6
500107156,8
500107157,6
500107158,16
500107159,8
500107160,18
500107161,6
500107162,14
500107163,6
500107164,5
500107165,6
500107166,16
500107167,7
500107168,6
500107169,12
500107170,15
500107171,10
500107172,20
500107173,7
500107174,5
500107175,13
500107176,10
500107177,12
500107178,13
500107179,8
500107180,6
500107181,7
500107182,16
500107183,6
500107184,8
500107185,10
500107186,3
500107187,13
500107188,17
500107189,7
500107190,8
500107191,11
500107192,12
500107193,11
500107194,13
500107195,10
500107196,14
500107197,10
500107198,16
500107199,11
500107200,6
500107201,5
500107202,5
500107203,10
500107204,8
500107205,4
500107206,6
500108001,21
500108002,8
500108003,6
500108004,9
500108005,24
500108006,13
500108007,12
500108008,21
500108009,12
500108010,8
500108011,23
500108012,8
500108013,11
500108014,3
500108015,4
500108016,5
500108018,9
500108019,9
500108020,5
500108021,12
500108022,7
500108023,9
500108024,15
500108025,5
500108026,20
500108027,26
500108028,9
500108029,7
500108030,8
500108031,7
500108032,6
500108033,28
500108035,14
500108036,15
500108037,7
500108038,16
500108039,7
500108040,10
500108041,6
500108043,12
500108044,9
500108045,17
500108046,26
500108047,8
500108048,15
500108049,44
500108050,3
500108051,22
500108052,10
500108054,9
500108055,12
500108056,16
500108057,6
500108058,12
500108059,15
500108060,9
500108061,10
500108062,10
500108063,6
500108064,3
500108065,9
500108066,11
500108067,9
500108068,28
500108069,6
500108070,27
500108071,15
500108072,11
500108073,5
500108074,8
500108075,5
500108076,7
500108077,14
500108078,14
500108079,9
500108081,13
500108082,4
500108083,4
500108084,3
500108085,8
500108086,13
500108087,9
500108088,19
500108089,11
500108090,6
500108091,9
500108092,6
500108093,4
500108094,4
500108095,12
500108096,8
500108097,13
500108098,3
500108099,14
500108100,6
500108102,7
500108103,3
500108104,5
500108105,10
500108106,8
500108107,11
500108108,8
500108109,5
500108110,12
500108111,10
500108112,8
500108115,12
500108116,4
500108117,11
500108118,11
500108119,6
500108120,9
500108121,15
500108122,3
500108123,8
500108124,10
500108125,9
500108126,9
500108127,14
500108128,5
500108129,10
500108131,4
500108132,6
500108133,13
500108134,4
500108135,9
500108136,7
500108137,12
500108138,12
500108139,7
500108140,6
500108141,10
500108142,8
500108143,4
500108144,4
500108145,4
500108146,10
500108147,13
500108148,5
500108150,4
500108151,4
500108152,3
500108153,5
500108154,10
500108156,9
500108157,4
500108158,5
500108159,4
500108160,4
500108161,5
500108162,6
500108164,4
500108165,18
500108166,3
500108167,8
500108168,4
500108169,7
500108170,7
500108171,4
500108172,9
500108173,8
500108174,5
500108175,10
500108176,4
500108177,5
500108178,12
500108179,18
500108181,14
500108182,7
500108183,9
500108184,4
500108185,4
500108186,12
500108187,11
500108188,5
500108189,4
500108190,7
500108191,24
500108192,12
500108193,8
500108194,11
500108195,9
500108196,9
500108197,8
500108199,6
500108200,8
500108201,12
500108202,12
500108203,14
500108204,9
500108205,12
500108206,6
500108207,8
500108208,11
500108209,5
500108211,13
500108212,14
500108213,5
500108214,14
500108215,7
500108216,9
500108217,8
500108218,6
500108219,7
500108220,10
500108221,10
500108222,8
500108223,8
500108224,13
500108225,9
500108226,7
500108227,10
500108228,16
500108229,5
500108230,7
500108231,8
500108233,7
500108234,8
500108235,8
500109001,18
500109002,7
500109003,24
500109004,8
500109005,19
500109006,19
500109007,19
500109008,26
500109009,8
500109010,16
500109011,19
500109012,7
500109013,15
500109014,6
500109015,7
500109016,12
500109017,11
500109018,10
500109019,22
500109020,19
500109022,28
500109023,25
500109024,7
500109025,7
500109026,14
500109027,45
500109028,13
500109029,10
500109030,7
500109031,7
500109032,59
500109033,17
500109034,13
500109035,6
500109036,2
500109037,5
500109039,6
500109040,9
500109041,12
500109042,14
500109043,17
500109044,7
500109045,6
500109046,8
500109047,14
500109048,9
500109049,7
500109050,11
500109051,8
500109052,10
500109053,15
500109054,15
500109055,14
500109056,16
500109057,7
500109058,11
500109059,11
500109060,7
500109061,8
500109062,8
500109063,18
500109064,6
500109065,15
500109066,25
500109067,7
500109068,19
500109070,15
500109071,7
500109072,10
500109073,11
500109074,11
500109075,4
500109076,3
500109077,6
500109078,5
500109079,28
500109080,5
500109081,5
500109082,5
500109084,8
500109085,14
500109086,15
500109087,11
500109088,11
500109089,8
500109091,14
500109092,8
500109093,16
500109094,4
500109096,4
500109097,9
500109098,10
500109099,4
500109100,4
500109101,45
500109102,4
500109103,4
500109104,13
500109105,9
500109106,9
500109107,11
500109108,11
500109109,8
500109110,9
500109111,7
500109112,14
500109113,14
500109114,15
500109115,10
500109116,9
500109117,12
500109118,15
500109119,21
500109120,20
500109121,10
500109122,9
500109123,13
500109124,8
500109125,13
500109126,4
500109127,8
500109128,17
500109129,25
500109130,8
500110002,4
500110003,15
500110004,16
500110005,12
500110006,3
500110007,3
500110008,10
500110009,3
500110010,6
500110011,14
500110012,14
500110013,23
500110014,10
500110015,6
500110016,7
500110017,13
500110018,14
500110019,18
500110020,13
500110021,6
500110022,16
500110023,28
500110024,7
500110025,20
500110026,12
500110027,9
500110028,14
500110029,10
500110030,14
500110031,6
500110032,8
500110033,17
500110034,14
500110035,18
500110036,9
500110037,6
500110038,14
500110039,35
500110040,19
500110041,25
500110042,19
500110043,3
500110044,22
500110045,14
500110046,9
500110047,7
500110048,6
500110049,6
500110050,5
500110051,5
500110052,9
500110053,11
500110054,14
500110055,6
500110056,12
500110057,9
500110058,4
500110059,11
500110060,14
500110061,15
500110062,9
500110063,11
500110064,4
500110065,5
500110066,15
500110067,21
500110068,5
500110069,11
500110070,4
500110071,13
500110072,4
500110073,6
500110074,7
500110076,19
500110077,13
500110078,17
500110079,9
500110080,8
500110081,9
500110082,11
500110083,10
500110084,18
500110085,6
500110086,6
500110087,14
500110088,2
500110089,15
500110090,18
500110091,24
500110092,5
500110093,11
500110094,11
500110095,9
500110096,11
500110097,10
500110098,8
500110099,11
500110100,7
500110101,11
500110102,13
500110103,10
500110104,15
500110105,11
500110106,8
500110107,4
500110108,0
500110109,6
500110110,15
500111001,14
500111002,35
500111003,16
500111004,26
500111005,11
500111006,4
500111007,6
500111008,21
500111009,22
500111010,17
500111011,4
500111012,4
500111013,16
500111014,26
500111015,25
500111016,31
500111017,22
500111018,12
500111019,6
500111020,6
500111021,11
500111022,17
500111023,32
500111024,8
500111025,4
500111026,10
500111027,10
500111028,20
500111029,8
500111030,13
500111031,12
500111032,5
500111033,10
500111034,4
500111035,13
500111036,15
500111037,4
500111038,5
500111039,15
500111040,7
500111041,5
500111042,11
500111043,10
500111044,12
500111045,19
500111046,4
500111047,17
500111048,19
500111049,6
500111050,6
500111051,11
500111052,4
500111053,10
500111054,8
500111055,7
500111056,5
500111057,11
500111058,11
500111059,14
500111060,32
500111061,11
500111062,10
500111063,7
500111065,7
500111066,7
500111067,9
500111068,12
500111069,16
500111070,35
500111071,9
500111072,18
500111073,8
500111074,11
500111075,9
500111076,7
500111077,8
500111078,9
500111079,8
500111080,11
500111081,6
500111082,7
500111083,9
500111084,10
500111085,7
500111086,9
500111087,4
500111088,4
500111089,9
500111090,8
500111091,10
500111092,4
500111093,3
500111094,4
500111095,8
500111096,11
500111097,6
500111098,9
500111113,6
500111114,8
500111115,6
500111116,12
500111117,10
500111118,7
500111119,6
500111120,5
500111121,6
500111122,5
500111123,9
500111124,5
500111125,10
500111126,9
500111127,13
500111128,4
500111129,11
500111130,13
500111131,9
500111132,25
500111133,11
500111134,14
500112001,22
500112002,10
500112003,14
500112004,15
500112005,9
500112006,30
500112007,13
500112008,34
500112009,18
500112010,4
500112011,7
500112012,14
500112013,3
500112014,10
500112015,10
500112016,21
500112017,33
500112018,6
500112019,2
500112020,9
500112021,5
500112022,43
500112023,28
500112024,8
500112025,27
500112026,36
500112027,7
500112028,17
500112029,6
500112030,4
500112031,4
500112032,6
500112033,6
500112035,14
500112036,6
500112037,28
500112038,4
500112039,24
500112040,28
500112042,3
500112043,18
500112044,15
500112045,42
500112046,28
500112047,17
500112048,13
500112049,8
500112050,26
500112051,27
500112052,14
500112053,12
500112054,11
500112055,16
500112056,6
500112057,17
500112058,3
500112059,13
500112060,16
500112061,11
500112062,10
500112063,14
500112064,42
500112065,6
500112066,10
500112067,17
500112068,24
500112069,11
500112070,8
500112071,22
500112072,23
500112073,15
500112075,4
500112076,12
500112078,16
500112079,9
500112080,20
500112081,6
500112082,4
500112083,7
500112084,19
500112085,35
500112086,7
500112087,13
500112088,7
500112089,7
500112090,5
500112091,3
500112092,10
500112093,2
500112094,9
500112095,15
500112096,13
500112097,13
500112098,9
500112099,16
500112100,30
500112101,8
500112102,12
500112103,3
500112104,10
500112105,12
500112106,7
500112107,15
500112108,11
500112109,13
500112110,26
500112111,11
500112112,5
500112113,10
500112114,9
500112115,14
500112116,13
500112117,7
500112118,7
500112119,7
500112120,11
500112123,7
500112124,6
500112125,7
500112127,15
500112128,7
500112129,10
500112130,10
500112132,31
500112133,7
500112134,7
500113001,7
500113002,10
500113003,5
500113004,13
500113005,17
500113006,11
500113007,8
500113008,20
500113009,12
500113010,7
500113012,25
500113013,13
500113014,11
500113015,4
500113016,4
500113017,18
500113018,6
500113019,15
500113020,10
500113022,15
500113023,13
500113025,14
500113026,14
500113027,15
500113028,9
500113029,11
500113030,11
500113031,10
500113032,5
500113033,13
500113034,50
500113035,12
500113036,24
500113037,11
500113038,31
500113039,22
500113041,16
500113042,37
500113043,48
500113044,28
500113045,14
500113046,14
500113047,8
500113048,6
500113049,7
500113050,13
500113051,10
500113052,9
500113053,13
500113054,7
500113055,7
500113056,13
500113057,25
500113058,17
500113059,12
500113060,13
500113061,15
500113062,7
500113064,19
500113065,10
500113066,23
500113069,12
500113070,14
500113071,8
500113072,6
500113073,13
500113074,7
500113075,5
500113077,8
500113078,12
500113079,14
500113081,16
500113083,4
500113085,8
500113086,9
500113087,12
500113088,13
500113089,6
500113090,11
500113091,11
500113092,10
500113093,14
500113094,2
500113095,2
500113096,6
500113097,19
500113098,8
500113099,6
500113100,14
500113101,10
500119005,27
500119006,45
500119007,16
500119008,4
500119009,26
500119043,40
500119044,7
500119045,5
500119046,14
500119047,3
500119048,34
500119049,5
500119050,4
500119051,4
500119052,3
500119053,6
500119054,3
500119055,4
500119056,4
500119057,4
500119058,4
500119059,9
500119060,2
500119061,5
500119062,3
500119063,6
500119064,18
500119065,2
500119066,2
500119067,3
500119068,5
500119069,5
500119070,28
500119071,12
500119072,2
500119074,2
500119075,3
500119076,3
500119077,10
500119078,3
500119079,4
500119080,2
500119081,5
500119082,3
500119083,3
500119084,11
500119085,4
500119086,4
500119087,3
500119088,12
500119089,6
500119090,5
500119091,10
500119092,4
500119093,8
500119094,7
500119095,6
500119096,38
500119097,14
500119098,13
