sno,平日0400初始車輛數
500101001,9
500101002,9
500101003,16
500101004,7
500101005,11
500101006,9
500101007,8
500101008,8
500101009,4
500101010,7
500101012,3
500101013,4
500101014,5
500101015,6
500101016,4
500101018,8
500101019,18
500101021,2
500101022,27
500101023,18
500101024,5
500101025,14
500101026,15
500101027,21
500101028,7
500101029,11
500101030,23
500101031,19
500101032,59
500101033,34
500101034,8
500101035,6
500101036,3
500101037,9
500101038,2
500101039,5
500101040,8
500101041,21
500101042,14
500101091,21
500101092,11
500101093,5
500101094,14
500101095,28
500101097,40
500101098,14
500101099,35
500101100,27
500101101,23
500101102,15
500101103,27
500101104,8
500101105,8
500101107,21
500101108,12
500101109,10
500101110,20
500101113,53
500101114,14
500101115,11
500101116,30
500101118,6
500101119,9
500101120,12
500101122,8
500101123,11
500101124,6
500101125,14
500101126,14
500101127,21
500101128,31
500101129,18
500101130,24
500101131,8
500101132,11
500101133,14
500101134,2
500101135,9
500101136,8
500101137,22
500101138,5
500101139,28
500101140,3
500101141,14
500101142,14
500101143,7
500101144,41
500101145,6
500101146,12
500101147,7
500101148,24
500101149,18
500101150,15
500101151,11
500101152,15
500101153,8
500101154,11
500101155,4
500101156,29
500101157,11
500101158,14
500101159,12
500101160,4
500101161,8
500101163,8
500101165,11
500101166,33
500101167,20
500101168,6
500101169,31
500101170,28
500101171,8
500101172,30
500101173,4
500101174,18
500101175,5
500101176,12
500101177,8
500101179,19
500101180,8
500101181,53
500101182,6
500101184,3
500101185,30
500101186,16
500101187,12
500101188,13
500101189,5
500101190,19
500101191,2
500101192,17
500101193,42
500101194,4
500101196,12
500101197,5
500101198,5
500101199,19
500101200,8
500101201,6
500101202,5
500101203,6
500101204,6
500101205,5
500101206,25
500101207,17
500101208,8
500101209,6
500101210,8
500101211,12
500101212,8
500101213,12
500101214,5
500101215,10
500101216,15
500101217,14
500101218,15
500101219,10
500101221,10
500101222,7
500101223,6
500101224,9
500101225,11
500101226,16
500101227,12
500101228,4
500101229,11
500101230,13
500101231,20
500101232,5
500101233,8
500101234,12
500101235,8
500101236,13
500101237,6
500101238,5
500101239,10
500101240,30
500101241,12
500101242,9
500101243,11
500101244,11
500101245,13
500101246,16
500101247,11
500101248,17
500101250,7
500101251,13
500101252,4
500101253,9
500101254,10
500101255,14
500101256,6
500101257,15
500101258,10
500101259,10
500101260,12
500101261,13
500101262,10
500101264,3
500101265,11
500101266,7
500101267,9
500101268,6
500101269,7
500101270,8
500101271,8
500101272,8
500101273,7
500101274,43
500101276,10
500103001,28
500103002,20
500103003,11
500103004,21
500103005,28
500103006,9
500103007,9
500103008,20
500103009,12
500103010,15
500103011,9
500103012,18
500103013,11
500103019,6
500103020,29
500103021,22
500103022,8
500103023,19
500103024,16
500103025,7
500103026,2
500103027,9
500103028,18
500103029,7
500103030,8
500103031,17
500103032,5
500103033,4
500103034,19
500103035,22
500103036,4
500103037,14
500103038,11
500103039,11
500103040,27
500103041,10
500103042,4
500103043,7
500103044,14
500103045,16
500103046,9
500103047,5
500103048,12
500103049,7
500103050,21
500103051,4
500103052,7
500103053,6
500103054,14
500103055,8
500103056,7
500103057,6
500103058,26
500103059,14
500103060,4
500103061,12
500103062,8
500103063,7
500103064,10
500103065,10
500103066,9
500103068,15
500103069,5
500103070,14
500103071,5
500103072,6
500103073,11
500103074,10
500103075,4
500103076,11
500103077,9
500103078,9
500103079,5
500103080,10
500103081,9
500103082,3
500103083,18
500103084,9
500103085,11
500103086,5
500103087,8
500103088,5
500103089,8
500104001,9
500104002,9
500104003,29
500104004,57
500104005,8
500104006,8
500104007,16
500104008,8
500104009,13
500104010,7
500104012,9
500104013,9
500104014,35
500104015,8
500104016,3
500104018,6
500104019,15
500104020,10
500104021,30
500104022,16
500104023,23
500104024,23
500104025,10
500104026,11
500104027,4
