sno,假日0600初始車輛數
500101001,13
500101002,13
500101003,20
500101004,6
500101005,10
500101006,9
500101007,6
500101008,7
500101009,6
500101010,4
500101012,5
500101013,6
500101014,3
500101015,8
500101016,4
500101018,7
500101019,18
500101021,2
500101022,28
500101023,30
500101024,3
500101025,7
500101026,14
500101027,22
500101028,5
500101029,3
500101030,17
500101031,16
500101032,56
500101033,29
500101034,4
500101035,4
500101036,4
500101037,11
500101038,5
500101039,2
500101040,8
500101041,16
500101042,12
500101091,25
500101092,10
500101093,4
500101094,14
500101095,35
500101097,44
500101098,10
500101099,34
500101100,25
500101101,23
500101102,12
500101103,25
500101104,6
500101105,6
500101107,21
500101108,9
500101109,17
500101110,27
500101113,45
500101114,18
500101115,17
500101116,30
500101118,7
500101119,12
500101120,18
500101122,6
500101123,15
500101124,10
500101125,13
500101126,14
500101127,26
500101128,28
500101129,22
500101130,25
500101131,10
500101132,8
500101133,18
500101134,7
500101135,16
500101136,7
500101137,19
500101138,5
500101139,18
500101140,6
500101141,13
500101142,12
500101143,5
500101144,34
500101145,6
500101146,10
500101147,5
500101148,27
500101149,17
500101150,22
500101151,16
500101152,15
500101153,8
500101154,15
500101155,7
500101156,26
500101157,13
500101158,16
500101159,17
500101160,7
500101161,9
500101163,8
500101165,11
500101166,38
500101167,19
500101168,3
500101169,28
500101170,26
500101171,15
500101172,32
500101173,6
500101174,14
500101175,6
500101176,12
500101177,7
500101179,18
500101180,7
500101181,18
500101182,5
500101184,6
500101185,24
500101186,15
500101187,12
500101188,13
500101189,7
500101190,14
500101191,4
500101192,17
500101193,41
500101194,6
500101196,13
500101197,7
500101198,5
500101199,15
500101200,10
500101201,8
500101202,5
500101203,8
500101204,6
500101205,8
500101206,24
500101207,17
500101208,12
500101209,4
500101210,9
500101211,13
500101212,6
500101213,7
500101214,2
500101215,9
500101216,14
500101217,18
500101218,11
500101219,8
500101221,10
500101222,6
500101223,6
500101224,15
500101225,10
500101226,14
500101227,15
500101228,6
500101229,12
500101230,10
500101231,18
500101232,5
500101233,8
500101234,11
500101235,10
500101236,10
500101237,4
500101238,5
500101239,11
500101240,17
500101241,8
500101242,5
500101243,11
500101244,10
500101245,12
500101246,14
500101247,12
500101248,19
500101250,13
500101251,15
500101252,5
500101253,9
500101254,14
500101255,12
500101256,9
500101257,12
500101258,12
500101259,8
500101260,16
500101261,14
500101262,11
500101264,3
500101265,12
500101266,4
500101267,10
500101268,6
500101269,5
500101270,8
500101271,9
500101272,8
500101273,4
500101274,50
500101276,7
500103001,21
500103002,16
500103003,11
500103004,22
500103005,27
500103006,7
500103007,8
500103008,15
500103009,16
500103010,18
500103011,9
500103012,12
500103013,12
500103019,10
500103020,25
500103021,18
500103022,4
500103023,15
500103024,21
500103025,7
500103026,2
500103027,8
500103028,29
500103029,6
