sno,假日0600初始車輛數
500103030,11
500103031,15
500103032,4
500103033,3
500103034,22
500103035,24
500103036,2
500103037,12
500103038,10
500103039,15
500103040,22
500103041,15
500103042,8
500103043,4
500103044,28
500103045,14
500103046,6
500103047,3
500103048,13
500103049,5
500103050,18
500103051,8
500103052,6
500103053,4
500103054,13
500103055,8
500103056,6
500103057,10
500103058,28
500103059,24
500103060,4
500103061,12
500103062,8
500103063,8
500103064,11
500103065,8
500103066,8
500103068,17
500103069,7
500103070,11
500103071,4
500103072,8
500103073,11
500103074,12
500103075,9
500103076,9
500103077,8
500103078,10
500103079,4
500103080,12
500103081,10
500103082,6
500103083,20
500103084,7
500103085,10
500103086,8
500103087,7
500103088,5
500103089,8
500104001,10
500104002,9
500104003,29
500104004,53
500104005,5
500104006,8
500104007,17
500104008,9
500104009,22
500104010,7
500104012,11
500104013,10
500104014,27
500104015,7
500104016,10
500104018,5
500104019,14
500104020,6
500104021,30
500104022,17
500104023,25
500104024,25
500104025,12
500104026,15
500104027,6
500104028,5
500104029,6
500104030,10
500104031,10
500104032,15
500104033,16
500104034,6
500104035,15
500104036,12
500104037,4
500104038,7
500104039,19
500104040,8
500104041,7
500104042,8
500104043,5
500104044,10
500104045,7
500104046,8
500104047,11
500104048,8
500104050,9
500104051,20
500104052,8
500104053,8
500104054,20
500104055,3
500104056,8
500104057,6
500104058,14
500104059,8
500104060,19
500104061,9
500104062,10
500104063,7
500104064,16
500104065,8
500104066,7
500104067,9
500104068,6
500104069,12
500104070,6
500104071,11
500104072,28
500104073,19
500104074,23
500104075,12
500104076,8
500104077,8
500104078,10
500104079,8
500104080,7
500104081,14
500104082,7
500104083,8
500104084,6
500104085,21
500104086,6
500104087,10
500104088,18
500104089,16
500104090,27
500104091,14
500104092,8
500104094,7
500104095,14
500104096,7
500104097,4
500104098,8
500104099,6
500104100,6
500104101,7
500104102,8
500104103,8
500104104,4
500104105,12
500104106,8
500104107,12
500104108,15
500104109,6
500104110,7
500104111,9
500104112,8
500104113,10
500104114,5
500104115,6
500104116,12
500104117,13
500104118,7
500104119,8
500104120,9
500104121,10
500104122,6
500104123,13
500104124,8
500104125,7
500104126,13
500104128,8
500104129,7
500104130,11
500104131,9
500104132,14
500104133,11
500104134,12
500104135,14
500104136,10
500104137,7
500104138,6
500104139,7
500104140,9
500104141,9
500104142,9
500104143,14
500104144,9
500104145,10
500104146,7
500104147,16
500104148,2
500104149,8
500104150,12
500104151,14
500104152,7
500104153,12
500104154,5
500105001,25
500105002,8
500105003,13
500105004,23
500105005,6
500105006,8
500105007,12
500105008,22
500105009,17
500105010,20
500105011,16
500105012,23
500105013,18
500105014,6
500105015,8
500105016,26
500105017,8
500105018,23
500105019,13
500105020,10
500105021,6
500105022,13
500105023,4
500105024,18
500105025,19
500105026,8
500105027,28
500105028,12
500105029,16
500105030,7
500105031,14
500105032,15
500105033,5
500105034,6
500105035,12
500105036,14
500105037,5
500105038,10
500105039,7
500105040,7
500105041,7
500105042,6
500105043,4
500105044,6
500105045,7
500105046,8
500105047,7
500105048,6
500105049,16
500105050,7
500105051,3
500105053,14
500105054,8
500105055,14
500105056,5
500105057,4
500105058,5
500105059,8
500105060,8
500105061,17
500105063,5
500105064,8
500105066,4
500105067,22
500105068,4
500105069,19
500105070,52
500105071,8
500105072,12
500105073,16
500105074,5
500105075,7
500105076,8
500105077,9
500105079,9
500105080,16
500105081,20
500105082,9
500105083,10
500105084,15
500105085,7
500105086,10
500105087,8
500105088,8
500105089,20
500105090,5
500105091,8
500105092,13
500105093,2
500105094,6
500105095,6
500105096,4
500105097,5
500105098,12
500105100,8
500105101,4
500105102,11
500105103,11
500105104,6
500105106,15
500105107,20
500105108,10
500105109,10
500105110,8
500105111,20
500105112,7
500105113,16
500105114,5
500105115,12
500105116,5
500105117,6
500105118,20
500105119,7
500105120,7
500105121,9
500105122,6
500105123,12
500105124,5
500105125,7
500105126,20
500106001,8
500106003,2
500106004,2
500106005,6
500106006,13
500106007,16
500106008,16
500106009,42
500106010,33
500106011,10
500106012,8
500106013,10
500106014,42
500106015,4
500106016,4
500106017,9
500106018,38
500106019,8
500106020,7
500106021,23
500106022,4
500106023,3
500106025,29
500106026,13
500106027,14
500106028,8
500106029,13
500106030,6
500106031,11
500106037,22
500106038,16
500106039,8
500106040,8
500106041,8
500106042,9
500106043,7
500106044,13
500106046,3
500106047,12
500106048,14
500106049,3
500106050,16
500106051,6
500106052,11
500106053,12
500106054,6
500106055,14
500106056,5
500106057,11
500106058,12
500106059,7
500106060,4
500106061,6
500106062,8
500106063,6
500106064,17
500106065,2
500106066,24
500106067,34
500106068,19
500106069,15
500106070,2
500106071,10
500106072,6
500106073,2
500106074,10
500106075,18
500106077,18
500106078,12
500106079,6
500106080,17
500106083,13
500106084,4
500106085,6
500106086,6
500106087,10
500106088,12
500106089,8
500106090,14
500106091,3
500106092,11
500106093,7
500106094,9
500106095,13
500106096,13
500106097,14
500106098,7
500106099,4
500106100,5
500106101,10
500106102,6
500106103,3
500106104,5
500106105,6
500106106,8
500106107,5
500106108,6
500106109,6
500106110,8
500106111,3
500106112,14
500106113,9
500106114,9
500106115,11
500106116,10
500106117,20
500106118,5
500106119,15
500106120,21
500106121,17
500106122,9
500106123,9
500106124,8
500106125,7
500106126,13
500106127,6
500106128,21
500106129,16
500106130,9
500106131,4
500106132,8
500106133,6
500106134,13
500106135,3
500106136,7
500106137,4
500106138,6
500106142,5
500106143,12
500106144,3
500106145,6
500106146,6
500106147,6
500106149,8
500106150,14
500107001,17
500107002,6
500107003,6
500107004,9
500107005,8
500107006,9
500107007,15
500107008,8
500107009,13
500107010,27
500107011,9
500107012,10
500107013,19
500107014,6
500107015,29
500107016,34
500107017,12
500107018,6
500107019,9
500107020,17
500107021,21
500107022,12
500107023,42
500107024,9
500107025,10
500107026,5
500107027,8
500107028,52
500107029,17
500107030,14
500107031,14
500107032,15
500107033,6
500107034,12
500107035,15
500107036,31
500107037,11
500107038,4
500107039,2
500107040,19
500107041,8
500107042,4
500107043,2
500107044,10
500107045,5
500107046,11
500107047,7
500107048,27
500107049,23
500107050,33
500107051,11
500107052,12
500107053,9
500107054,10
500107055,7
500107056,13
500107058,13
500107059,3
500107060,2
500107061,12
500107062,18
500107063,5
500107064,23
500107065,2
500107066,5
500107067,4
500107068,6
500107069,4
500107070,5
500107071,10
500107072,15
500107075,7
500107076,18
500107078,4
500107079,11
500107080,10
500107081,7
500107082,10
500107083,16
500107084,8
500107085,4
500107086,2
500107087,15
500107088,4
500107089,8
500107090,11
500107091,8
500107092,10
500107093,19
500107095,10
500107096,7
500107097,5
500107098,3
500107099,6
500107100,5
500107101,9
500107102,4
500107103,5
500107104,6
500107105,5
500107106,8
500107107,8
500107108,8
500107109,10
500107110,9
500107111,27
500107112,16
500107113,4
500107114,14
500107115,8
500107116,21
500107117,10
500107118,9
500107119,11
500107120,6
500107121,6
500107122,8
500107123,9
500107124,6
500107125,11
500107126,7
500107127,9
500107128,6
500107129,3
500107130,14
500107131,6
500107132,9
500107133,6
500107134,8
500107135,3
500107136,15
500107137,2
500107138,9
500107139,38
500107140,3
500107141,10
500107142,6
500107143,4
500107144,22
500107145,13
500107146,15
500107147,7
500107149,9
500107150,4
500107151,11
500107152,11
500107153,6
500107154,8
500107155,7
500107156,10
500107157,8
500107158,13
500107159,6
500107160,12
500107161,8
500107162,12
500107163,2
500107164,4
500107165,7
500107166,17
500107167,8
500107168,8
500107169,13
500107170,20
500107171,8
500107172,19
500107173,10
500107174,5
500107175,5
500107176,6
500107177,8
500107178,11
500107179,11
500107180,6
500107181,10
500107182,16
500107183,5
500107184,11
500107185,11
500107186,2
500107187,10
500107188,17
500107189,4
500107190,6
500107191,11
500107192,13
500107193,12
500107194,11
500107195,8
500107196,12
500107197,4
500107198,16
500107199,7
500107200,6
500107201,12
500107202,8
500107203,9
500107204,8
500107205,4
500107206,6
500108001,21
500108002,7
500108003,8
500108004,8
500108005,24
500108006,12
500108007,17
500108008,31
500108009,14
500108010,10
500108011,25
500108012,8
500108013,13
500108014,4
500108015,4
500108016,6
500108018,7
500108019,8
500108020,8
500108021,13
500108022,7
500108023,8
500108024,12
500108025,4
500108026,22
500108027,30
500108028,15
500108029,12
500108030,8
500108031,9
500108032,6
500108033,28
500108035,14
500108036,14
500108037,5
500108038,13
500108039,8
500108040,10
500108041,4
500108043,13
500108044,11
500108045,19
500108046,22
500108047,9
500108048,14
500108049,39
500108050,4
500108051,22
500108052,11
500108054,15
500108055,12
500108056,13
500108057,6
500108058,12
500108059,14
500108060,8
500108061,11
500108062,10
500108063,6
500108064,3
500108065,10
500108066,8
500108067,7
500108068,23
500108069,7
500108070,30
500108071,19
500108072,10
500108073,6
500108074,9
500108075,5
500108076,7
500108077,14
500108078,14
500108079,9
500108081,10
500108082,6
500108083,8
500108084,4
500108085,8
500108086,12
500108087,10
500108088,18
500108089,10
500108090,5
500108091,7
500108092,5
500108093,4
500108094,6
500108095,14
500108096,8
500108097,11
500108098,6
500108099,16
500108100,6
500108102,6
500108103,4
500108104,8
500108105,11
500108106,11
500108107,11
500108108,8
500108109,5
500108110,7
500108111,10
500108112,8
500108115,10
500108116,4
500108117,3
500108118,9
500108119,4
500108120,5
500108121,15
500108122,4
500108123,7
500108124,10
500108125,11
500108126,7
500108127,14
500108128,8
500108129,12
500108131,6
500108132,8
500108133,14
500108134,6
500108135,9
500108136,7
500108137,14
500108138,9
500108139,9
500108140,5
500108141,10
500108142,10
500108143,4
500108144,5
500108145,5
500108146,8
500108147,10
500108148,6
500108150,4
500108151,4
500108152,4
500108153,5
500108154,8
500108156,12
500108157,4
500108158,4
500108159,6
500108160,5
500108161,8
500108162,7
500108164,5
500108165,18
500108166,3
500108167,8
500108168,5
500108169,9
500108170,7
500108171,3
500108172,7
500108173,8
500108174,2
500108175,11
500108176,6
500108177,4
500108178,14
500108179,18
500108181,16
500108182,8
500108183,12
500108184,7
500108185,3
500108186,4
500108187,11
500108188,6
500108189,4
500108190,7
500108191,22
500108192,13
500108193,9
500108194,9
500108195,10
500108196,10
500108197,10
500108199,2
500108200,7
500108201,15
500108202,13
500108203,11
500108204,11
500108205,11
500108206,10
500108207,11
500108208,9
500108209,5
500108211,11
500108212,9
500108213,5
500108214,15
500108215,8
500108216,8
500108217,10
500108218,4
500108219,7
500108220,8
500108221,9
500108222,6
500108223,6
500108224,9
500108225,9
500108226,5
500108227,10
500108228,17
500108229,5
500108230,5
500108231,8
500108233,8
500108234,6
500108235,10
500109001,17
500109002,10
500109003,21
500109004,12
500109005,14
500109006,23
500109007,23
500109008,24
500109009,10
500109010,17
500109011,31
500109012,6
500109013,16
500109014,6
500109015,10
500109016,10
500109017,8
500109018,9
500109019,24
500109020,17
500109022,29
500109023,27
500109024,7
500109025,9
500109026,15
500109027,46
500109028,13
500109029,9
500109030,8
500109031,10
500109032,58
500109033,18
500109034,27
500109035,9
500109036,7
500109037,7
500109039,6
500109040,10
500109041,10
500109042,14
500109043,14
500109044,8
500109045,10
500109046,11
500109047,21
500109048,10
500109049,12
500109050,10
500109051,8
500109052,9
500109053,20
500109054,23
500109055,18
500109056,14
500109057,7
500109058,9
500109059,8
500109060,8
500109061,7
500109062,4
500109063,18
500109064,6
500109065,12
500109066,28
500109067,8
500109068,23
500109070,16
500109071,8
500109072,11
500109073,10
500109074,11
500109075,14
500109076,5
500109077,5
500109078,7
500109079,21
500109080,5
500109081,6
500109082,7
500109084,9
500109085,13
500109086,19
500109087,9
500109088,16
500109089,7
500109091,11
500109092,6
500109093,16
500109094,6
500109096,8
500109097,7
500109098,6
500109099,3
500109100,3
500109101,57
500109102,4
500109103,5
500109104,10
500109105,9
500109106,9
500109107,10
500109108,9
500109109,9
500109110,10
500109111,11
500109112,14
500109113,12
500109114,12
500109115,8
500109116,14
500109117,11
500109118,14
500109119,17
500109120,11
500109121,10
500109122,11
500109123,10
500109124,11
500109125,16
500109126,6
500109127,6
500109128,16
500109129,24
500109130,8
500110002,8
500110003,18
500110004,17
500110005,13
500110006,7
500110007,9
500110008,9
500110009,5
500110010,7
500110011,14
500110012,13
500110013,20
500110014,7
500110015,2
500110016,6
500110017,9
500110018,17
500110019,19
500110020,10
500110021,6
500110022,22
500110023,33
500110024,10
500110025,20
500110026,8
500110027,8
500110028,8
500110029,10
500110030,16
500110031,9
500110032,9
500110033,10
500110034,17
500110035,14
500110036,5
500110037,7
500110038,14
500110039,32
500110040,14
500110041,23
500110042,14
500110043,4
500110044,16
500110045,17
500110046,10
500110047,10
500110048,3
500110049,8
500110050,3
500110051,5
500110052,8
500110053,7
500110054,16
500110055,4
500110056,12
500110057,7
500110058,4
500110059,18
500110060,14
500110061,15
500110062,8
500110063,12
500110064,3
500110065,6
500110066,10
500110067,18
500110068,8
500110069,12
500110070,6
500110071,18
500110072,7
500110073,7
500110074,12
500110076,14
500110077,12
500110078,19
500110079,7
500110080,6
500110081,8
500110082,12
500110083,10
500110084,16
500110085,6
500110086,18
500110087,13
500110088,5
500110089,16
500110090,15
500110091,23
500110092,7
500110093,11
500110094,12
500110095,12
500110096,9
500110097,10
500110098,7
500110099,16
500110100,7
500110101,10
500110102,11
500110103,8
500110104,17
500110105,11
500110106,12
500110107,11
500110109,6
500110110,14
500111001,16
500111002,34
500111003,17
500111004,25
500111005,9
500111006,9
500111007,6
500111008,20
500111009,19
500111010,15
500111011,6
500111012,4
500111013,22
500111014,27
500111015,31
500111016,28
500111017,18
500111018,11
500111019,9
500111020,9
500111021,14
500111022,24
500111023,42
500111024,18
500111025,4
500111026,12
500111027,12
500111028,21
500111029,6
500111030,12
500111031,10
500111032,6
500111033,10
500111034,5
500111035,18
500111036,15
500111037,8
500111038,6
500111039,18
500111040,10
500111041,8
500111042,13
500111043,12
500111044,11
500111045,14
500111046,10
500111047,14
500111048,17
500111049,8
500111050,10
500111051,10
500111052,6
500111053,8
500111054,6
500111055,11
500111056,8
500111057,7
500111058,14
500111059,12
500111060,39
500111061,10
500111062,9
500111063,9
500111065,7
500111066,6
500111067,10
500111068,12
500111069,25
500111070,29
500111071,8
500111072,14
500111073,8
500111074,12
500111075,11
500111076,8
500111077,9
500111078,5
500111079,6
500111080,8
500111081,5
500111082,7
500111083,10
500111084,9
500111085,5
500111086,10
500111087,5
500111088,7
500111089,9
500111090,8
500111091,9
500111092,4
500111093,3
500111094,4
500111095,6
500111096,10
500111097,8
500111098,6
500111113,8
500111114,10
500111115,7
500111116,15
500111117,6
500111118,6
500111119,8
500111120,5
500111121,6
500111122,6
500111123,9
500111124,9
500111125,11
500111126,13
500111127,14
500111128,4
500111129,13
500111130,15
500111131,9
500111132,22
500111133,12
500111134,9
500112001,19
500112002,8
500112003,11
500112004,14
500112005,7
500112006,25
500112007,18
500112008,29
500112009,30
500112010,10
500112011,11
500112012,16
500112013,2
500112014,11
500112015,13
500112016,21
500112017,38
500112018,9
500112019,4
500112020,10
500112021,5
500112022,37
500112023,30
500112024,8
500112025,26
500112026,32
500112027,9
500112028,18
500112029,15
500112030,3
500112031,8
500112032,15
500112033,6
500112035,11
500112036,6
500112037,32
500112038,6
500112039,21
500112040,26
500112042,7
500112043,17
500112044,16
500112045,44
500112046,32
500112047,19
500112048,14
500112049,16
500112050,24
500112051,23
500112052,12
500112053,12
500112054,15
500112055,19
500112056,10
500112057,18
500112058,6
500112059,12
500112060,13
500112061,10
500112062,12
500112063,9
500112064,18
500112065,7
500112066,8
500112067,22
500112068,21
500112069,14
500112070,7
500112071,26
500112072,24
500112073,14
500112075,5
500112076,16
500112078,14
500112079,11
500112080,16
500112081,5
500112082,4
500112083,15
500112084,14
500112085,35
500112086,7
500112087,13
500112088,7
500112089,8
500112090,6
500112091,3
500112092,12
500112093,4
500112094,8
500112095,16
500112096,14
500112097,14
500112098,6
500112099,14
500112100,28
500112101,10
500112102,14
500112103,6
500112104,11
500112105,9
500112106,6
500112107,13
500112108,9
500112109,16
500112110,22
500112111,14
500112112,7
500112113,10
500112114,10
500112115,18
500112116,15
500112117,8
500112118,12
500112119,8
500112120,6
500112123,5
500112124,6
500112125,12
500112127,12
500112128,4
500112129,11
500112130,8
500112132,26
500112133,6
500112134,5
500113001,8
500113002,9
500113003,7
500113004,10
500113005,26
500113006,10
500113007,8
500113008,26
500113009,11
500113010,8
500113012,22
500113013,13
500113014,9
500113015,4
500113016,4
500113017,19
500113018,7
500113019,19
500113020,11
500113022,21
500113023,18
500113025,14
500113026,11
500113027,18
500113028,12
500113029,11
500113030,8
500113031,8
500113032,9
500113033,13
500113034,47
500113035,9
500113036,24
500113037,12
500113038,22
500113039,20
500113041,9
500113042,28
500113043,46
500113044,29
500113045,14
500113046,9
500113047,5
500113048,6
500113049,9
500113050,11
500113051,8
500113052,12
500113053,14
500113054,6
500113055,6
500113056,15
500113057,15
500113058,16
500113059,11
500113060,15
500113061,14
500113062,10
500113064,15
500113065,14
500113066,26
500113069,12
500113070,15
500113071,9
500113072,7
500113073,17
500113074,9
500113075,9
500113077,9
500113078,16
500113079,15
500113081,19
500113083,6
500113085,11
500113086,10
500113087,14
500113088,13
500113089,8
500113090,16
500113091,11
500113092,9
500113093,14
500113094,5
500113095,8
500113096,7
500113097,20
500113098,10
500113099,7
500113100,14
500113101,12
500119005,29
500119006,38
500119007,19
500119008,5
500119009,25
500119043,40
500119044,6
500119045,5
500119046,14
500119047,2
500119048,14
500119049,4
500119050,6
500119051,4
500119052,4
500119053,3
500119054,4
500119055,5
500119056,6
500119057,9
500119058,7
500119059,4
500119060,2
500119061,4
500119062,3
500119063,8
500119064,12
500119065,2
500119066,2
500119067,5
500119068,5
500119069,6
500119070,23
500119071,5
500119072,2
500119074,2
500119075,5
500119076,7
500119077,6
500119078,3
500119079,4
500119080,3
500119081,3
500119082,1
500119083,4
500119084,7
500119085,3
500119086,4
500119087,4
500119088,12
500119089,4
500119090,6
500119091,4
500119092,2
500119093,7
500119094,6
500119095,4
500119096,39
500119097,24
500119098,10
